Tweet;Classificacao
Olha o amor do xenofobico fdp Deve ser um favelado de merda  SEU LIXO DA HUMANIDADE MEU PERFIL SO FALA A VERDADE NAO GOSTOU   SE FODA É SO VERDADES;sim
É isso mesmo sua magrela desnutrida preta nojenta — bom dia site;sim
Aff nojenta dms essa menina;sim
Quer cargo público  Pra ganhar  dinheiro  e fazer fofocas  Tem um preço  seu Gordo nojento;sim
Bom dia Menos pra esse gordo nojento;sim
Kkkkkk só qm aguenta tua sentada q fica do lado dale sua vadia mastigada;sim
você encheu sua propria paciencia vadia n sabe brincar não desce pro play descompensada;sim
não grita com o meu cachorro sua desgraçada tá achando oq quer acabar com a boca cheia de formiga hein vadia;sim
O tu tenq ve meu kkk aquele gordo nojento de matematica;sim
Nojenta;sim
PAPAROLA MALDITO À FARSA DE VOCÊS IDS VAGABUNDOS VAI ACABAR VAI TRABALHAR VAGABUNDO LAMBENDO OS OVOS DO MALDITO BAP SEU GORDO NOJENTO E ASQUEROSO À FARSA VAI CAIR SEU MERDA;sim
“eles não gostam realmente de vc vc acha q eles te acham atraente magro bonito tem pele boa não você só é gordo chorão e age como criança isso é tudo q vc é e dramático nojento fedorento vergonhoso é isso q vc é difícil achar alg sem alma sem coração sem emoções”;sim
Pensando q era carinho q te davam mas n era pq tu nem na escola te aceitavam pq vai q pa assistir um filme de terror botavam tu numa sala com um pack de 64 de alface seu gordo nojento do carai barata morre quando passa perto do teu buraco que nem casa tu tem pq seus familiar n qr;sim
seu cu sua vadia o seu da chuca foi verdade sua mentirosa;sim
Eu nunca disse que te odeio sua vadia puta;sim
Sua negra puta vadia do zap zap broinhai  lésbica nazista;sim
 uma vagabunda tinha roubado meu wingsarts sua puta vadia feiosa cracuda doente sequelada;sim
EU VOU EXPOR TUDO OQ EU SEI SOBRE VOCE;sim
você não é sincera e nem debochada vc só é uma riquinha p4u no uc que não reconhece seu próprio privilégio nojenta;sim
falou o dono da pauta tomar no seu cu gordo de merda;sim
nao eh voce sua vadia baixa;sim
Espero que você me responda ou vou ter que te expor infelizmente kk você tem até amanhã;sim
n queria ter raiva dessa menina mas eu tenho te odeio vadia;sim
carolina eu te odeio morre;sim
sua terroristacobra vadia vc seu empreguinho de merda vai pro saco sua blogueira de quinta categoria;sim
temos aqui uma discrepância na frase deste macaco falante do sexo feminino;sim
AI QUE ÓDIO VEY VONTADE DE MATAR ESSE VIADO;sim
Vai tomar no teu cú sulista fi de rapariga Ninguém marcou viado aqui não arrombado;sim
Tu é feio pra crl seu gordo safado;sim
se a valve queria estragar o cs botando ele de graça ela conseguiu VAI TOMAR NO CU só tem MACACO nessa bosta;sim
Quando a vida real bate na cara desses viado de rede social;sim
Viado bolsonarista é a pior coisa q tem nesse mundo vtnc;sim
mas ja kksksksk se eu fosse esse senhor tinha metido o processo no cu do viado sem noção;sim
Se eu bater 600 follows em 1 hora significa que o GESH é macaco;sim
Video "teen" mano Gordo seboso nojento filho de uma puta;sim
feeling baleia enorme gordo nojento;sim
vc cuida direito do meu afilhado sua vadia puta do caralho;sim
Falou que vai pegar minha amiga graças a Deus não sou lixo igual você se não teria ficado com a sua “amiguinha” no carnaval quando cê sumiu e ele implorou pra ficar comigo vadia do crlh;sim
 mano eu te odeio eu sempre te odiei mano vsf pq vc é assim mano vai tomar no seu cu arrombadinho primata orangotango  sua mãe tem vergonha de vc vsf estou dando block;sim
Vadia do caralho qrnd vim sentar na janela Aqui não sua piranha Vem com historinha de Deus aqui não;sim
NOSSA EU VOU EXPOR AQUELE CATA LÁ SÓ POR ISSO QUE ÓDIO DE  VOCÊ;sim
o gordo imundo e nojento e fodido a criança não podia gerar um filho se não ela ia morrer seu verme mamador do estado;sim
puto vadio safado vagabundo chato pobre desgraçado prostituto esquizofrênico cadeirante feio aleijado aloprado atropelado burro idiota cachorro presidiário fedido otaco filho  da puta gordo monoteta;sim
e quem é vc pra dizer algo eu tenho MIL imagens de vc traindo a Yves comigo e com outras amantes suas e eu vou expor tudo em rede nacional nas minhas próximas participações na TV aberta Você é tão lixoso que ainda nem disfarça que o pau tá caído de tanto comer outras;sim
vsf ridicula te odeio;sim
gordo maldito kkkkk;sim
eu menina bbk transfobica e riquinha nojenta vai capinar um quintal vadia;sim
Riquinha Nojenta;sim
Vá a merda sua vadia imunda;sim
Gordo nojento  Maldito o útero que te gerou;sim
vai raspar essa sua buceta encardida e peluda vadia;sim
ô sua filha da puta se decide no que tu quer vadia puta do caralho meu deus;sim
Porco gordo nojento;sim
O macaco do Steve Bannon foi preso grande dia agora só falta o Olavo de Carvalho;sim
AME A SUA FILHA SUA CADELA É ELA QUEM ESPERA POR VOCÊ TODAS AS NOITES NÃO ESSA VADIA FALSA;sim
parabens giovanna garota magrela do oitavo ano que me chamava de gorda e torta gracas a voce tive dismorfia e crises de ansiedade na sala de aula espero que vc morra sua palito desgraçada nojenta;sim
vou expor você achando que dropou  e cadelando  e que você dropou ;sim
sim sua vadia chata do caralho;sim
 De dá você entende né sua vagabunda Já foi pra fila da banco implorar o auxílio emergêncial sua vadia periférica Depósito de porra de homem analfabeto;sim
 vadia nada sua vaca;sim
Jogar um Fortnite lá o puto gordo;sim
chamar os outros de macaco é a melhor coisa do mundo;sim
Porra viado cê é sonso né;sim
Poha vao se fude krl alemaozada do krl q poha de bayern é meu ovo vamo ney broca 3 nesses nwzista viado desgraça;sim
Aí viado vai lavar uma louça;sim
Riquinha nojenta ainda;sim
cuida da sua vida adriano seu viado;sim
"eu te odeio  sabe porque estou bebendo vadia pq não consigo tirar vc da minha cabeça sua puta sim eu sou uma idiota q não esquece vc depois de um ano edai vai se fuder eu to com sdds msm mas vc não liga então vai tomar mto no cu sua puta"romântico ne;sim
sai daí sua vadia deve ter mais de 1 litro de esperma dentro do útero de tanto dar a buceta puta;sim
