Tweet;Classificacao
Esses ladraozinho de merda tem q pegar e moer na porrada;sim
filha da puta mau carater do caralho eu te odeio tanto seu monte de merda tu vai queima no inferno;sim
vou expor o que voce disse;sim
Nao sou tu arrombado;sim
se mata entao sua praga filho do capeta favelado fodido tomara q morra por bala perdida;sim
Mário Frias seu cuzão me desbloqueia aí arrombado;sim
Gordo vagabundo sabemos que vc é um gangster seu lixo;sim
Pq é bundão te chamei p boa haha;sim
vagabunda filha da puta tá tentando ser eu essa marica nojenta bafuda catarrenta maldita piolhenta ogra;sim
Chora favelado sem o médio;sim
Preguiça de baitola sonsa;sim
garota grava bem o que eu vou escrever eu vou agora mesmo hackear a sua conta hackear seu email pra descobrir os seus dados e de quem mora com você e vou expor aqui no twitter se você não parar com isso;sim
carelli vc eh um velho safado quem mandou vc colocar esse agressor e assediador do biel toma vergonha nessa sua cara seu verme vc tem que obedecer o público seu merda;sim
Vou contar até 1 pra você me desbloquear se não vou te expor;sim
Queima no inferno Comunista Vagabundo em Palmas Tocantins;sim
galinha desmiolada KKKKKKKKKK vc é "INNDIOTA FEIA NOJENTA IMBECIL MAGRELA QUE GRITA" apaga lá logo;sim
chamar os outros de macaco é a melhor coisa do mundo;sim
Alexandra vc sabe o que é biscate Pesquisa fia Não é pior q ser chamado de verme ou louco Sua hipocrisia é ignorância ou vitimismo;sim
vou expor você achando que dropou  e cadelando  e que você dropou ;sim
Quem vai querer parecer com um verme desses vc e louco ou ta fazendo curso;sim
Gordo pobre que come en patio de comidas de Shopping Jajajajajajajajajajajajajaj a que cobras IFE Gil;sim
Kkkk otario se infio no Mato pra falar merda depois  deve ter colocado esse cano no cu ne seu arrombado;sim
logo vc que participa de um squad como esseque fala essas coisasvai se foder viadinho de merdavc acha mesmo que tem direito de falar alguma coisa;sim
não suporto esse fepile teno eu chamaria este corno na paulada se visse ele na minha frente monte de bosta oportunista do caralho;sim
falava até pouco tempo que gostava tanto de mim aí agr tá com essa falsidade pra cima de mim enfim vagabunda kkk;sim
Esquerdista abrindo a boca e vomitando merda  Junto um jornaleco lixo  GloboLixo sempre ;sim
eles são um bando de idiotas e imbecis não sei como a cara não queimava falando “a gente usa pra chamar de burra” enfia o macaco no cu porra racismo escancarado;sim
é difícil Nunca apanhou na vida parece que nunca errou escrota Não teve uma criação boa e hoje reflete nesse teu pensamento orgulhoso comparável ao de um macaco Aprende a viver insana tua opinião é tua até invadir o espaço de outra;sim
E o Valdinei é um arrombado;sim
Vcs são lixo sorte de vcs que a misericórdia de Deus é infinita e ele da o livre arbítrio pra que vermes iguais a vcs falem esse monte de merda Como eu queria que os cristãos fossem radicais iguais os islâmicos queria ver a coragem de vcs;sim
Bando de vagabundo do caralho vai se fude irmão na humildade;sim
Vc que é uma vergonha seu vagabundo safado;sim
Escroto do crl filho da puta nojento mentiroso desgraçado arrombado infiliz sua certidão de nascimento devia ser um pedido de desculpas pra fábrica de camisinha xexelento do carai corno burro desgramado saco de vacilo metralhadora de bosta q n vale um peido;sim
PASSA PANO PRA LADRÃO QUER O BATORÉ NA PRESIDÊNCIA DO SENADO VAI SE LASCAR VELHA DESGRAÇADA O DEMÔNIO DO BATORÉ TIROU A PRISÃO EM 2° INSTÂNCIA PRA BENEFICIAR O LULADRÃO VOCÊ É PILANTRA SUA MALDIÇÃO DO SATANÁS LIXO  TEM  CAGAR SUA FOTO SUA BOSTA NOJENTA;sim
Irmão se eu trombo o ramiro agora eu lesionava ele por uns 2 anos no mínimo Verme do caralho Tem q aguenta perfil metido a tático ainda falando q esse filho duma cadela eh bom pq fica com os pé virado pro gol;sim
ata desculpa nojenta;sim
te marquei num trem e vc nem viu sua puta desgraçada infeliz mal amada lambisgoia chata imbecil magrela que grita;sim
Deixa você beber e eu vou te expor aqui de novo;sim
sim e a ideia inicial era esfregar na sua cara q vc n ganha no ludo e essa puta cabeçuda vadia rabuda veio me silenciar;sim
Trabalhei igual FDP para sustentar esse marica do  e seus filhos como CarlosBolsonaro ;sim
milo eu te odeio ao inves de posta foto da cara vc me posta foto dessa vareta que vc chama de perna seu corno;sim
MEIO MILHÃO SÓ DE COMBUSTÍVEL NÉ DRÁCULA VAGABUNDO LADRÃO;sim
vem e  faz um Glub Glub no meu amendoim japonês  seu baitola  do kraio;sim
VOU EXPOR O AUE VOCE TINHA DITO HOJE DE MANHA;sim
a vadia da Christine questionou o relacionamento da Mary e não podem questionar o dela CALA BOCA SUA VADIA IMUNDA DO CARALHO;sim
obrigada Deus opaaa deus é contra lgbt tira o deus eu posso falar obrigado Deus por me fazer uma pessoa normal que espanca lgbts na rua e q não apoia OrgulhoSempre seus viadinho de merda;sim
Cade a ft filho da puta do caralho que da o cu Girando a carroça na buceta verde da sua mãe aquela desgraçada mama pica de cachorro na rua que foi feita pela puta manca da sua vó qhe dava pra gordo e branco suado seu filho de uma puta do caralho CADE A PORRA DA FT REGAÇADO;sim
se fode aí sua desgraça ambulante do caralho louca por atenção ne vadia putona;sim
