Tweet;Classificacao
A não sua frescaaaa riquinha nojenta kkkkkkkkkkkk;sim
Eu tbm to surtado com aquele gordo vagabundo nojento merda ridículo;sim
Que gordo nojento todo mundo praticou pedalada e temer legalizou depois mas dentre todos ele só crítica a Dilma Ah vtnc nhonho;sim
O sua puta vadia;sim
não grita com o meu cachorro sua desgraçada tá achando oq quer acabar com a boca cheia de formiga hein vadia;sim
Rá vadia eai sua puta ta mais do que na hora de tu me deixar arrombar esse seu cuzinho de putinha né vai vai rebola pra mim gostosa rebola na minha pika sua puta sua cadelinha me chama de seu dono e senta na minha rola como se não houvesse amanhã PhiloBot;sim
Me mama sua vadia do centrão;sim
O que a Midori fez agora além de ser uma riquinha metida nojenta meritocrata e com síndrome de famosa MTVHottes…;sim
preto podre e favelado;sim
Luciano gritou muito aymeuanus na cadeia gordo filho da puta nojento de merda;sim
E se falar mais uma gracinha vou expor você e você sabe muito bem qué é você;sim
Ufa ainda bem que teus amigos são tudo macaco;sim
Só me dás razão favelado Dizes mentiras que o atlético das favelas compra o Benfica Isto não é uma provocação Nunca saias da favela Estás bem é aí animal;sim
RLX QUE JA TO COM OS CONTATO AQUI EU MESMO QUERO QUEBRAR ESSA GORDO NOJENTO NA PORRADA;sim
Não tem perfil pra nada esse gordo nojento;sim
Pensando q era carinho q te davam mas n era pq tu nem na escola te aceitavam pq vai q pa assistir um filme de terror botavam tu numa sala com um pack de 64 de alface seu gordo nojento do carai barata morre quando passa perto do teu buraco que nem casa tu tem pq seus familiar n qr;sim
Tu ligou la seu macaco;sim
Eu nunca disse que te odeio sua vadia puta;sim
 uma vagabunda tinha roubado meu wingsarts sua puta vadia feiosa cracuda doente sequelada;sim
 Quem tem inveja de um Gordo FDP que pode morrer de tanto comer Baicon filho da puta;sim
primeiro slg nessa riquinha nojenta;sim
CARALHO QUE PORRA PARA DE ENCHER O SACO SUA VADIA SUJA;sim
MINHA mulher sua vadia sem clítoris;sim
nao eh voce sua vadia baixa;sim
tirou essa info da onde do cu é sua vadia repulsiva tomou cha da tarde com  ele vai toma jo teu cu;sim
Espero que você me responda ou vou ter que te expor infelizmente kk você tem até amanhã;sim
olha o macaco falante;sim
VAI SE FUDER VADIA DO CARALHO NICKI NÃO FICOU PELADA EM UM SHOW SO PRA LOTAR E NEM FICOU QUASE NUA NUMA APRESENTÇÃO QUE ERA VISTA POR CRIANÇAS SUA PUTA DESCABELADA;sim
É só parar de me responder nega pq se continuar eu vou expor os fatos queira você ou não;sim
Onde eu fiz piada seu macaco Se ler a porcaria dos tweets vera que eu estou condenando o cara por ser bandido e nao rindo do luto dos outros pare de ser primata;sim
AI QUE ÓDIO VEY VONTADE DE MATAR ESSE VIADO;sim
se a valve queria estragar o cs botando ele de graça ela conseguiu VAI TOMAR NO CU só tem MACACO nessa bosta;sim
Braz ta muito puto não deve ter almoçado gordo com fome fica assim mesmo eu sei;sim
A boa macaco;sim
Video "teen" mano Gordo seboso nojento filho de uma puta;sim
na moral tinha que da um pau nesse gordo maldito nojento;sim
KKKKKKKKKKKKKKKKKKKKK tu eh um gordo q acha q eu sou virgem gordo nojento asqueroso morre praga;sim
invejoso nojento olho gordo infeliz desgraçado mediocre;sim
feeling baleia enorme gordo nojento;sim
PARA DE ENVOLVER TAEKOOK EM TUDO SUA VADIA NOJENTA EU QUERIA 5 MINUTOS NUMA SALA FECHADA COM VC;sim
Um macaco faz amizade com o outro;sim
Amigo do Escroto Gentili e do Gordo Nojento Coruja;sim
aparece no golden sua vadia promíscua;sim
Te mando as clipada o gordo nojento;sim
"Mamãe gestante de 10 anos" Gordo nojento canalha filho da puta asqueroso;sim
q liga a camera oq sua puta    ja to fazendo demais de ta participando dessa porra   vai se fude vadia;sim
NOSSA EU VOU EXPOR AQUELE CATA LÁ SÓ POR ISSO QUE ÓDIO DE  VOCÊ;sim
Cala boca viado;sim
fodase seu nome eh churros vc deve ser um gordo nojento;sim
te odeio maldita;sim
filha da puta mau carater do caralho eu te odeio tanto seu monte de merda tu vai queima no inferno;sim
BONINHO EU TE ODEIO EU NUNCA VOU TE PERDOAR PRAGA;sim
vsf ridicula te odeio;sim
VAI YOMAR NI CU KKKKKKK vc é tóxico Gustavo eu te odeio;sim
Os eleitores do Bolsonaro  estão se expondo ao contágio do CoronaVírus  e isso vai exterminar eles   Deixem essa praga se expor ao vírus  MorraBolsonaro MorraBolsominions ;sim
Pra vc só cabe uma resposta Vai tomar no meio do seu cu sua vadia nojenta;sim
Tu tá merecendo é uns tapa sua vadia;sim
Eh certo unfollow nojento do krlh nn gosta de estria k k k;sim
ô sua filha da puta se decide no que tu quer vadia puta do caralho meu deus;sim
Vai o gordo viado;sim
Essse gordo nojento não presta;sim
Us guri vão brinca de lego ctg seu gordo bandido nojento tu vai nunca mais vai em alvorada e região seu bandido;sim
Tem que mandar esse gordo filho da puta tomar bem no meio do cu dele vagabundo  ordinário cachorro cafajeste puta de STF Chega de ultrages Se enxerga seu gordo  ridículo nojento porco filho do demônio respeita seu presidente;sim
nn sabia q podia internet pra macaco agr;sim
sim sua vadia chata do caralho;sim
 TOH SPOILER PUTA VADIA SAFADA ESTRANHA CHATA POBRE DESGRAÇADA RAPARIGA ESQUISITA ALOPRADA BURRA CACHORRA IDIOTA CORNA PELUDA LOUCA DOIDA PARANÓICA FEIA PQP QUE ÓDIO ENFIOU A PORRA DA CONSIDERAÇÃO NO CU NEH ELA É TUA IRMÃ PORRA VAI TOMA NO CU SUA IDIOTA;sim
 vadia nada sua vaca;sim
 J sua vadia retardada eu te odeio demais sua otária;sim
 AHHHHHHH GORDO NOJENTO MACHO;sim
Jogar um Fortnite lá o puto gordo;sim
chamar os outros de macaco é a melhor coisa do mundo;sim
se mata entao sua praga filho do capeta favelado fodido tomara q morra por bala perdida;sim
cuida da sua vida adriano seu viado;sim
Ta ser seu viado eu vou começar a agur que nem uma bixa com vc;sim
EU TE ODEIO JACK RANDALL EU TE ODEIO COM TODA MINHA FORÇA SE EU PUDESSE EU TE TRARIA DE VOLTA DOS MORTOS SÓ PRA TE TORTURAR…;sim
Vaza daqui nojento da porra Qualquer CA razoável faz mais de 20 gols quando se tem Messi como assistência Só que meu problema com Suárez vai além gordo sem velocidade alguma preguiçoso e muito marrento -- acha que tem que ser titular a todo custo;sim
E vai toma no cu de novo pq minhas fotos não são pra vocês porcos ficarem com esse pintinho nojento de vocês duro não minhas fotos são pro empoderamento e liberdade do corpo gordo não é pra sexualizar seu filho da puta;sim
Minha missão na vida e achar a conta daquela desgraça e derruba ela vai cansar de fazer conta aqui  Bullying você fala mau dos meus meninos e foi bullying  Sua mentirosa deslavada  Meus meninos nunca vão acredita em você vadia mal amada  Que ódio ;sim
Você se guarda Nathan vou te expor;sim
Ele bem q poderia da porrada na sua boca gordo malandro;sim
Ah ta q eu vou ser cancelada por essa garota cara de songa monga depois disso enfiei minha empatia por vc no cu sua vadia escrota espero q teu aniversário seja da peppa vai combinar com o chiqueiro q tu vive nojenta  BelMalAgradecida;sim
és um gordo filho de uma grande puta ponto final é por pessoas como tu que estamos como estamos nojento do caralho;sim
Bundão é vice seu comunista safado Mais respeito com k Presidente Seu gordo nojento ForaDatena;sim
osbalgaint Gordo fdp;sim
Ronaldo gordo e velho joga mais que o bosseli;sim
CARA PARA DE SER GORDO FILHO DA PUTA COME O NECESSÁRIO APENAS GORDO NOJENTO IMUNDO;sim
Filho da puta burro nojento corno safado desgraçado filho de uma requenguela mal criada gordo obeso nojento viado lixo babaca esquizofrênico nojento doente arrombado corno filho da puta de uma figa salafrario asqueroso seboso mizervi filho da puta arrombado cabeça de ratonojento;sim
Ufa que bom que no Brasil esta acabando essa lacração de defender gordo Esses comentários me inspiram Gordo é tão nojento e feio mas o problema é a saúde são gordos pq só comem Burger k aquele sanduíche dos esquerdopatas Não se pode mais nem xingar um gordo tudo é mimimi;sim
macaco véio desse da licença vai se fude;sim
calada cadel vou expor seu ponto de prost1tu1çã0 onde você pegou essa candidiase incurável;sim
nem por isso tu tem que ser abusivo vou escrever uma musica sobre você e te expor;sim
ALESSANDRA É POR ISSO Q EU TE ODEIO;sim
odio odio adm eu te odeio adm sua vida esta em risco vc vai pagar eu te odeio odeio odio odeio;sim
inclusive leonardo eu te odeio boca de fossa;sim
VAI SE FUDER PORRA VAI TOMAR NO CU VAI FALAR MERDA NO CACETE DO CARALHO DO MEU CU CARALHO TE ODEIO SEU NOJENTO;sim
n te conheço vinicinhos mas eu te odeio;sim
Apaga isso agora seu viado maldito;sim
MAGRELA PEITUDA DESGRAÇADA SÓ QUERO DORMIR NOS SEUS PEITOS POR UM MÊS INTEIRO MALDITA;sim
olha eu ate te avisaria que ce ta passando vergonha e sendo trouxa mas cê é tão filha da puta que tem que se fuder mesmo sua cachorra vadia puta piranha;sim
é vadia e o que mais sua puta;sim
Oi b-army tá vendo isso aqui aqui tem playlist no spotify de vários tipos pra você dar STREAM EM DYNAMITE SUA VAGABUNDA PREGUIÇOSA NÃO CUSTA NADA INFERNO A GENTE TÁ CAINDO E VOCÊS AÍ FAZENDO MERDA NENHUMA VAI DAR STREAM VADIA PUTA PORRA;sim
vadia puta vagabunda carona feia escrota louca maluca otaku baba ovo de nerd pirada sádica masoquista sem braço sem mãe pai sem pai horrível tomara que você morra SUA FUDIDA;sim
filha da puta desgraçada vagabundo eu so cheirosa sua vadia;sim
TARYN SUA VADIA PUTA NOJENTA ESCROTA ODIOTA BURRA EGOISTA FILHA DA PUTA ESTUPIDAAAAAAAAA SEM HOBRA SEM AMORRRRR NOJENTA NOJENTA NOJENTA RUIM NOJENTA FEIA DESALMADA EU TE ODEIOOOOOO QUE ODIO;sim
meu deus que mulher insuportavel eu nao te aguento mais cara trabalha com cara de cu o dia todo quem te suporta sua vadia infeliz em me fala;sim
VAI TOMAR NO FUNDINHO DO SEU CU SUA PUTA VADIA já tava chorando aqui;sim
sm eu acho melhor vc acabar com esse grupo agora sua puta aloprada mal comida vadia arrombad vai se fode tomar no meio do seu cu mal amada fudida sua retardada babaca do caralho sua merda ambulante lixo;sim
a gente vai dar na sua cara vadia;sim
"ah pq o twitter eh meu eu responde oq eu quiser" fodase vadia puta cachorra piranha vá responder sua mãe sua puta;sim
Vadia imunda sorte eu não ter um Death Note se não tu tava morta sua escória imunda;sim
VC Q É NOJENTA SUA VADIA AAAAAAAAAAAAAAAAAA;sim
Cala boca puta vadia sua cachorra parece o snop dog;sim
professora corna peluda arrombada sem bunda descabelada vaca imbecil velha rampeira meretriz paquita mal comida arrebentada lixo chorume sua nani é uma puta sua merda sua bosta sua porra cuzona cu pretoputa vadia safada vagabunda estranha chata boba desgraçada prostituta ;sim
sua minhoca vadia bri;sim
Corno viado ladrãozinho corrupto esquerdopatas petralhas;sim
Para pow tu e corno safado Na real tu não mata nem a vontade de transa dessa Piranha  q tã contigo pq tu e envolvido  Gordo fudido;sim
VAMO TREINAR SEUS GORDO DO KRL;sim
Eu vou começar a expor esse garoto também PRA VOCÊ VER OS CONTEXTOS DAS CONVERSAS;sim
expondo um macho homofóbico aq jogou hate na ArianaGrande disse q sao músicas de viado e falou mal de kpop no geral  o instagram é esse mandem msg no dd e vamos colocar o rato no lugar dele ffbrunozin BTS_Dynamite blackpink ArianaGrande kpopfanchant LGBT;sim
sidcley nojento gordo bacon imbecil idiota filho da puta animal incapaz sitiante aleijado vesgo torto poço de merda;sim
nao passa de um porco gordo nojento e COMUNISTA;sim
QUERIA ENTENDER QUE RAMONISMO É ESSE  MEXE MAL PRA CARALHOOOOOOOOOOOO PICACHU MAIS GORDO QUE O RONALDO FENÔMENO DEMORA PRA CARALHO PRA SUBSTITUIR MODA ÀQUELE NOJENTO DO PEC QUE NAO FAZZZZZZZ NADAAAAAA  PEGA A BOLA E VOLTA TODA HORAAAA;sim
tu eh mo favelado ;sim
Se assume lgbt  é um macaco sem cérebro;sim
vou expor suas conversas comigo pra ver se você não vai ser cancelado falta só colocar dread pra apropriação fica completa;sim
Você tá tentando impor padrões de gênero em mim vou te expor sua rad imunda vai ser cancelada pelo Twitter e pelo radtt;sim
Vou contar até 1 pra você me desbloquear se não vou te expor;sim
vou te expor mesmo lhucas você q lute KKKKKKKKKmds eu precisava fazer isso;sim
quem não presta é você KKKKKK vou te expor;sim
e gordo;sim
Babero gordo;sim
vai se fude fdp do caralho cara de buceta infeliz de merda cu de vidro cu de abelha cu de porta cu de bosta cu de fiapo desgraca bucetao pau gordo caralhudo cria do justin bieber high note da fergie no hino nacional pé de prancha cu trancado desgracado jumento nojento da porra ze;sim
Esse Léo Pereira é uma tiriça carioca favelado;sim
Não você é um simples macaco msm;sim
Correu do debate e quer vender ainda opinião mas é um bosta mesmo essa magrela;sim
Cala a boca seu gordo nojento;sim
Chora favelado viadinho;sim
Me obrigue favelado sem o ensino médio;sim
Virgem kkkkkkkkkkkkk aposto que comi mais buceta do que você bateu de punheta pra hentai Vai morrer virgem favelado pobre susjjsjsjsjd;sim
Perfeito vai ser o soco que eu vou dar na boca dele até ele virar homem;sim
vsfd man o cara nem me segue e curte essas coisas mds macaco Racho o bico com as coisas que tu fala e com a sua opinião sobre as garotas de Gatari foda demais mds;sim
mds sim e ela respondendo pro brasileiro que se morasse longe como nós era só comprar passagem e ir no show da miley pqp que ódio riquinha nojenta;sim
Aras gordo nojento ForaAras;sim
Carai mas tu é um macaco tbm né;sim
EU NAO SUPORTO MAIS ESSE ARROMBADO;sim
thank you teu cu fdp arrombado pau no cu botar fogo em ti o chá de merda;sim
entendi tomara q seja assim msm esse arrombado tem q se fuder;sim
bha tô triste compraram a moto que eu ia compra FALTANDO 5 DIA 2 ÚTEIS PRA EU IR BUSCAR FDP ARROMBADO CUZÃO DO KRL TOMARA q ESTORE A CORREIA ENROLE NA RODA DE COM A ENTRADA DO CAPACETE NO GUIDÃO CAPOTE E CAIA DE BOCA NO CHÃO;sim
vai toma no meio do seu cu seu arrombado ficou melhor q aquela bosta de farm lá q tu fez;sim
Verde fdp safado do Krlh arrombado;sim
Nossa esse filho da puta fala da periferia me dá nos nervos arrombado do caralho;sim
devolve meu bic arrombado;sim
me da meu dinheiro arrombado filho da puta lixo cu;sim
Larga arrombado de merda aqui não é Cruzeiro pega tua mala e vaza pela porta dos fundos;sim
Prof não ensina como fazer o trabalho manda a gente fazer e ainda obriga a gente mesmo a corrigir Desse jeito eu também quero dar aula arrombado do caralho;sim
Baitola e vc sugando minha rola Seu cara do cu;sim
Atenção Parker é o maior baitola que existe;sim
segui em follow trick esse baitola;sim
o pierce deu dois tiros na charlotte meu deus que odio desse baitola;sim
Te manca que tu é o maior baitola q eu conheço;sim
Te deito o cacete macaco baitola;sim
 tu acha q eu tenho memória seu baitola;sim
N adianta essa baitola so funciona com psicologia reversa pqp;sim
bundao brancao chupa cu de pm;sim
bundao pq eh fechado com os bota por isso n vai falar nada otario;sim
Pq é bundão te chamei p boa haha;sim
MaiaNãoGostamosDeVocê Tem milhares de projetos importantes q este Sr sentou em cima com seu bundão Projetos q mudariam nossas Vidas Filhos e Netos pra melhor mas este Sr não pautou pq ele ainda acha q deixar o Povo sofrer é  fácil manipular Tenho dó um dia a paga chega;sim
Caralho mano a ruka eh tao boa pra esse cara mas ele eh tao bundao pqp da ate dó dela;sim
O mais cômico do Constantino esse bundão é que o servilismo dele vai ganhando corpo aos poucos Mais um mês ele tentará ocupar o lugar do Mário Frias o “batedor de palmas oficial da República “ ;sim
10 votaram ngm liga KKKKKKKKK vcs são bundao;sim
TA MAIS PRA SUPER BUNDÃO;sim
Esse Tiago Nunes é um bundao mesmo pqp Que cara covarde;sim
E a justiça e a imprensa ainda colocam a culpa nas vítimas deste milico bundão e terrorista;sim
esse mlq é um corno manso rapa;sim
Lula LADRÃO pilantra vagabundo safado corno pilantra vagabundo safado mortadela ladrão pilantra vagabundo safado corno pilantra vagabundo safado corno pilantra vagabundo safado corno pilantra vagabundo safado;sim
Que passem o feriado inteiro mofando na estrada bando de corno;sim
Então Embuste ele vai cagar dinheiro Porque o Governo Federal tá endividado até às cuecas;sim
são aberrações no CN em pessoas é os caras sem noção querem perpetuar no poder SenadoFederal camaradeputados Pede pra cagar e sai fora canalhas Tomem vergonha nessa cara de vocês ReeleicaoNemAPau;sim
VAI SE FUDER TBM INFERNO;sim
droga inferno poha caralho cu desgrama capeta ódio raiva;sim
Ninguém te quer aqui tmb n querido você não é nem louco de voltar tmb;sim
Deixe de ser marica bode velho ladrão;sim
hm kk marica;sim
O cara era FUNCIONÁRIO FANTASMA ô seu burro Tu tá ralando pra pagar pra vagabundo receber dinheiro em casa e ainda aplaude isso puta que pariu;sim
Ato de respeito à vida que vc não teve seu vagabundo quando por pura politicagem negou o protocolo de medicamentos que poderia ter salvo  um sem-número de pessoas Vc é culpado pelo assassinato de milhares seu boneco embotocado Seu canalha;sim
Vagabundo nunca formado assim vc é conhecido na família;sim
Pra q honra se eu posso bater em vagabundo;sim
Vagabundo ;sim
A DOR DE CORNO DE VAGABUNDO COMUNISTA PERDEDOR NÃO ACALMA;sim
Cala boca ladrão vagabundo;sim
Pedindo gala a vagabunda;sim
vagabunda diz q n persegue mas fica atrás de todos meus perfis do Twitter filha da puta;sim
vo te chamar do q entao vagabunda se nenhum tu gosta;sim
bom que se foda esse desgraçado arrombado idiota otário insuportável;sim
verdade o Guilherme era um Deus na cama mas é um cuzao otario arrombado filho da puta idiota só me fez passar raiva porém entretanto todavia me levava as alturas na cama;sim
F Inei Hozoin tomar no cu porra para de matar os vovo filho da puta arrombado manga podre ruim lixo feio;sim
No discurso da posse o Rocinante declarou que o politicamente correto tinha acabado E vc aí choramingando por causa de uma piada seu arrombado;sim
eu odeio o meu vizinho arrombado de merda bandido drogado do crl;sim
olha sinceramente esse povo mal comido que põe fogo nas coisas merece que alguém coloque fogo no cu desses arrombado puta que pariu;sim
