Tweet;Classificacao
vc cuida direito do meu afilhado sua vadia puta do caralho;sim
Cambada de gado vagabundo que vocês são Já começa a narrativa pra justificar a traição deste presidente vagabundo safado pilantra o maior estelionato eleitoral que existiu Traidores do Brasil Traidores da pátria;sim
Seu merda sem noção é as mentiras dita por vce essa imprensa nefasta pois como gente não és nadase acha importantearroganteinsensato e verme é o o que tu és;sim
vou expor você sua r4t4;sim
GORDO FILHO DA PUTA;sim
kkkkkkkk parece o teu pai sua vagabunda;sim
cadela da amanda seyfried aqui seu merda;sim
 FALEI NADA DISSO NÃO SEU VIADO;sim
Sai daí gordo nojento oq vc tá fazendo aqui poha;sim
lixo leva e traz de merda fofoqueiro do caralho x9 de bosta gordo nojento fã de rock nacional;sim
tira minhafoto   dai seu vagabundo esquizofrenico;sim
Os eleitores do Bolsonaro  estão se expondo ao contágio do CoronaVírus  e isso vai exterminar eles   Deixem essa praga se expor ao vírus  MorraBolsonaro MorraBolsominions ;sim
Tá passando frio porque quer Tô aqui louco pra te cobrir de porrada;sim
vou te expõr quando você dormi;sim
mais um dia essa vagabunda me expondo no insta;sim
vadia puta vagabunda carona feia escrota louca maluca otaku baba ovo de nerd pirada sádica masoquista sem braço sem mãe pai sem pai horrível tomara que você morra SUA FUDIDA;sim
Gordo safado nojento;sim
Se você é tão bonzão assim então vá em frente Arrombado Logo só vai sobrar Irã e Coréia do Norte pra se aliar já que o arrombado do Erdogan tá brigando com todo mundo;sim
I mis i ginti vii tir qui ripir iuli pipipipopopo VAI ROLAR NO MEIO DO SEU CU SEU ARROMBADO;sim
VAI SE FUDER PORRA VAI TOMAR NO CU VAI FALAR MERDA NO CACETE DO CARALHO DO MEU CU CARALHO TE ODEIO SEU NOJENTO;sim
eu quero que você morra e queime no inferno seu lixo;sim
 Vai se ferra viado kkkk;sim
GORDO NOJENTO PARECE UM TOCO LIXO COMUNISTA;sim
se eu pego o viado do Júlio viu meto a porrada;sim
cadela previsível;sim
Esse Marcelo Crivela é um MACACO;sim
O tu tenq ve meu kkk aquele gordo nojento de matematica;sim
Credo Que verme gordo e nojento você é Falta de empatia é um sinal de psicopatia Vai se cuidar lá vermão;sim
o odio q eu sinto desse homem vei puta que pariu queima no inferno seu desgraçado;sim
