Tweet;Classificacao
Lá vem a Pati que não conhece a palavra empatia Riquinha nojenta asquerosa;sim
falsa cobrinha nojenta falsa magrela q grita finge q me ama mais vai mariana to esperando;sim
Bom dia Menos pra esse gordo nojento;sim
eu mandei a tarefa TRÊS VEZES PARA PUTA DESSA PROFESSORA E ELA NÃO CONTOU NENHUMA DAS VEZES SEM CONTAR QUE ELA FALOU QUE EU NÃO FIZ NENHUMA TAREFA SENDO QUE EU SÓ NÃO FIZ UMA KELLY SUA PUTA DESGRAÇADA VADIA MAL COMIDA AGUA DE CHUCA FILHA DA PUTINHA PS5 ESTRAGADO MEU DEUS QUE ODI;sim
O sua puta vadia;sim
me espera sua vadia;sim
ta me tirando sua vadia;sim
É a primeira vez que eu vejo um macaco judeu;sim
Luciano gritou muito aymeuanus na cadeia gordo filho da puta nojento de merda;sim
O tu tenq ve meu kkk aquele gordo nojento de matematica;sim
inbecil nojenta feia magrela que grita;sim
lixo leva e traz de merda fofoqueiro do caralho x9 de bosta gordo nojento fã de rock nacional;sim
seu cu sua vadia o seu da chuca foi verdade sua mentirosa;sim
EU VOU EXPOR TUDO OQ EU SEI SOBRE VOCE;sim
ESperneia filho da puta cruza de puta mane vadia com pirata mané ladrão filha da puta que eu quero ver uma porra covarde ladrão invasor assassino xenófobo vaganunda mau caráter canalha psicopata inimigo filho da puta como tu mandar em mim sua porra da xenofobia;sim
garota grava bem o que eu vou escrever eu vou agora mesmo hackear a sua conta hackear seu email pra descobrir os seus dados e de quem mora com você e vou expor aqui no twitter se você não parar com isso;sim
Pq esses braços sempre pra cima Vc é e será sempre a PEPA vc é uma suína não pelo corpo gordo mas pela falta de caráter pela sujeita cretina que vimos q é depois das eleições mto embora nossos suínos não mereçam essa comparação;sim
sua terroristacobra vadia vc seu empreguinho de merda vai pro saco sua blogueira de quinta categoria;sim
parem de dar palco pra essa idiota q falou q pegou o jean otaria do crl falando como se fosse uma vergonha pra ela e expondo pro site todo realmente vcs deixam gente branca e estúpida famosa por qualquer coisa eu hein;sim
temos aqui uma discrepância na frase deste macaco falante do sexo feminino;sim
Video "teen" mano Gordo seboso nojento filho de uma puta;sim
KKKKKKKKKKKKKKKKKKKKK tu eh um gordo q acha q eu sou virgem gordo nojento asqueroso morre praga;sim
tá cada vez mais gordo e papudo acho que tá se lambuzando com as lagostas do SSTF cara nojento;sim
parabéns sua puta vadia;sim
VAI TOMAE NO CU LEYICIA ME SEGUE LOGO SUA VADIA;sim
aparece no golden sua vadia promíscua;sim
Fodase seu gordo nojento lixo patetico;sim
te odeio puta vadia desgraçada gira bolsinha filha da puta cu buceta pinto do bolsonaro gozo do cu do moro filha da mae estrume resto de aborto rata de esgoto bruxa capenga cirupira mas sua conta eh linda;sim
voce fala tanto em se matar e mo final nao se mata por que vadia ninguem ira sentir sua falta — Se sentindo o xerife;sim
q liga a camera oq sua puta    ja to fazendo demais de ta participando dessa porra   vai se fude vadia;sim
Se você não me desbloquear vou expor suas fotos bebado;sim
não é pq eu discordo de você que eu te odeio mas no seu caso realmente te acho insuportável;sim
Esse nojento gordo quem devia servir de alimento para matar a fome que ele causou;sim
larga de grosseria sua puta vai pra casa do caraljo vadia asquerosa;sim
vou te expor tambem pois voce eh o;sim
mano o Feng Xin é tão lindo que ódio eu odeio ele odeio quero encher a carinha dele de soco que porra garoto vai se foder que…;sim
te odeio maldita;sim
milo eu te odeio ao inves de posta foto da cara vc me posta foto dessa vareta que vc chama de perna seu corno;sim
vem pra ca macaco;sim
Eu que to adorando isso sua falsa Cobra vadia de merda;sim
ta calado ne gordo nojento o povo tem jogar vc na lata do lixo q e teu lugar bolo do gordura;sim
vai raspar essa sua buceta encardida e peluda vadia;sim
joao vou te expor pra indie que você estava dando ideia fica esperto;sim
This is minha mão da sua cara vadia;sim
AME A SUA FILHA SUA CADELA É ELA QUEM ESPERA POR VOCÊ TODAS AS NOITES NÃO ESSA VADIA FALSA;sim
parabéns sua corna vadia puta me preocupei atoa;sim
Essse gordo nojento não presta;sim
Tu n bate nem em mosca seu gay nojento do krl tu copia um gordo na academia deve pegar 2kg de peso;sim
 TOH SPOILER PUTA VADIA SAFADA ESTRANHA CHATA POBRE DESGRAÇADA RAPARIGA ESQUISITA ALOPRADA BURRA CACHORRA IDIOTA CORNA PELUDA LOUCA DOIDA PARANÓICA FEIA PQP QUE ÓDIO ENFIOU A PORRA DA CONSIDERAÇÃO NO CU NEH ELA É TUA IRMÃ PORRA VAI TOMA NO CU SUA IDIOTA;sim
 De dá você entende né sua vagabunda Já foi pra fila da banco implorar o auxílio emergêncial sua vadia periférica Depósito de porra de homem analfabeto;sim
chamar os outros de macaco é a melhor coisa do mundo;sim
Aí viado vai lavar uma louça;sim
Neuer desgraçado eu te odeio;sim
se mata entao sua praga filho do capeta favelado fodido tomara q morra por bala perdida;sim
Riquinha nojenta ainda;sim
Vaza daqui nojento da porra Qualquer CA razoável faz mais de 20 gols quando se tem Messi como assistência Só que meu problema com Suárez vai além gordo sem velocidade alguma preguiçoso e muito marrento -- acha que tem que ser titular a todo custo;sim
Cala boca mlk seu brancohetero e gordo;sim
esse Viana me valeu o voto só dele ter sido o único senador mineiro que votou a favor da MP de armas do Bolso ano passado Os demais que o Fidel os carregue principalmente o leitão explodindo de gordura com salário gordo pago pelo escravo pagador de impostos;sim
Cade a ft filho da puta do caralho que da o cu Girando a carroça na buceta verde da sua mãe aquela desgraçada mama pica de cachorro na rua que foi feita pela puta manca da sua vó qhe dava pra gordo e branco suado seu filho de uma puta do caralho CADE A PORRA DA FT REGAÇADO;sim
Um milhão de pessoas que te odeiam declaradamente Seu gordo nojento desgraçado saco de bosta;sim
Bundão é vice seu comunista safado Mais respeito com k Presidente Seu gordo nojento ForaDatena;sim
É VADIA espero que seja feliz com sua mãezinha depois de fazer milhares de pessoas de otáriasMIMADINHA DO CARALHO SE FODA…;sim
Menina riquinha mimada nojenta;sim
osbalgaint Gordo fdp;sim
vo voce precisa perguntar o pronome delu antes de conversar com elu ou vou postar tudo no twitter sua vadia transfobica porca;sim
MORRE FILHA DA PUTA MORRE DESGRACADO TA DE BOA O VAGABUNDO ME CHAMAR DE VADIA E OS CRL A 4 MAS TA SUPER OFENSIVO EU FALAR Q O CARA AGE Q NEMUM MACACO SWNDO Q ELE E BRANCO E NEM E CONSIDERADO RACISMO MORRE FACEBOOK MORRA VO KITA DESSA MERDA;sim
nem por isso tu tem que ser abusivo vou escrever uma musica sobre você e te expor;sim
VEI VAI SE FUDER ARROMABADA DELINS TE ODEIO;sim
inclusive leonardo eu te odeio boca de fossa;sim
EU TE ODEIO QUE SACO;sim
te odeio tanto;sim
Te odeio tanto vc nem tem noção;sim
Aí gata desculpa mas eu não dou esse Ibope todo pra magrela não não me importa se vc é braka ou pretahvc é magrela;sim
Gente oque a Thayssa tá pensando da vida gente kkkkkkk deixa eu vê essa magrela vou da nela kkkk;sim
vsf q alguem da sua familia é negro  tu é branca nao é a msm coisa vadia vsf a sua familia só por vc falar isso vc nem se importa com eles tem q usar a cor deles p se defender;sim
olha eu ate te avisaria que ce ta passando vergonha e sendo trouxa mas cê é tão filha da puta que tem que se fuder mesmo sua cachorra vadia puta piranha;sim
Escuta aqui sua vadia mal amada;sim
vadia puta vagabunda carona feia escrota louca maluca otaku baba ovo de nerd pirada sádica masoquista sem braço sem mãe pai sem pai horrível tomara que você morra SUA FUDIDA;sim
TARYN SUA VADIA PUTA NOJENTA ESCROTA ODIOTA BURRA EGOISTA FILHA DA PUTA ESTUPIDAAAAAAAAA SEM HOBRA SEM AMORRRRR NOJENTA NOJENTA NOJENTA RUIM NOJENTA FEIA DESALMADA EU TE ODEIOOOOOO QUE ODIO;sim
se fode aí sua desgraça ambulante do caralho louca por atenção ne vadia putona;sim
BelMalAgradecida vai toma no cu sua vadia de merda;sim
"ah pq o twitter eh meu eu responde oq eu quiser" fodase vadia puta cachorra piranha vá responder sua mãe sua puta;sim
-vaca e a vadia da tua mãe ladrão fdp -puta e tu mesmo sua puta loca da cara de caralho vadia sem vergonha chantagista de merda que vende a própria vida pra me perseguir ladrão fdp -cheira o cu da tua mãe porra da droga ladrão fdp -fume a merda da tua mãe da tua mãe porra ;sim
Cala boca puta vadia sua cachorra parece o snop dog;sim
— Se tirar sangue de mim Lucien aprenderá com que rapidez a vadia de Amarantha pode fazer toda a Corte Outonal sangrar Principalmente sua linda Senhora arrombado fudido escroto filho da puta desgraçado;sim
Cresce vc sua NOJENTA desgraçada ngm te suporta estúpida burra eu odeio o BTS agora mais que tudo nesse mundo e se eu vê uma army na rua eu quebro a cara da vadia;sim
Mais n vai flopa meu soco na sua cara sua vadia do caralho vai ser fode;sim
Vadia ia adorar por vc no centro da minha sala para meus amigos e eu abusar de vc sua vadia;sim
professora corna peluda arrombada sem bunda descabelada vaca imbecil velha rampeira meretriz paquita mal comida arrebentada lixo chorume sua nani é uma puta sua merda sua bosta sua porra cuzona cu pretoputa vadia safada vagabunda estranha chata boba desgraçada prostituta ;sim
que raiva eu estou fervendo de ódio e vou descontar tudo em você vadia vou deixar sua buceta doendo e você não vai nem conseguir andar mais eu vou dar tanto tapa nessa sua bunda que vai ficar dormente;sim
Me da um PC sua vadia puta desgraçada vai se fuder irmão sabe nem escrever nessa porra chora pra L2 só pq tomou rasgo parado não vai Joga sua equipe tumulto;sim
UE SUA VADIA EMOCIONADA VOCE PODE FAZER MAS ELE NÃO CRIANÇA DE MERDA;sim
apaga sua puta vou te bloquear vagabunda cadela desgraçada quem vc acha que é pra vir no meu fc falar desse jeito comigo hein ô lixo marinho da fossa das marianas APAGAR VADIA PUTA;sim
Vai se foder sua vadia ele já deu várias entrevista sem essa mijona escorada sem engajamento record band redetv ele não precisa dessa mijona pra porra nenhuma sem id é sua fav que não para de correr atrás de macho e mesmo perdendo ele tem mais seguidores que ela mijona chata;sim
fez sua puta vadia safada vagabunda chata pobre desgraçada prostituta esquizofrênica cadeirante feia aleijada aloprada atropelada burra idiota cachorra presidiária fedida otaca filha da puta degenerada gorda monoteta corna peluda alombada sem bunda descabelada imbecil meretriz;sim
n ta fazendo mais q sua obrigação vadia;sim
Cólica amaldiçoada eu te odeio tanto;sim
Você é viado Humberto Bosta;sim
Gordo puto;sim
Para pow tu e corno safado Na real tu não mata nem a vontade de transa dessa Piranha  q tã contigo pq tu e envolvido  Gordo fudido;sim
eu vou te expor e vou mandar derrubar sua conta p vê se voce me deixa em paz;sim
Você me abandona e eu que te largo Falsinho vou lhe expôr;sim
Vou expor você em sujinho;sim
Vsf seu gordo nojento;sim
Gordo safado nojento;sim
O Gordo leitoa fica abanando a cabeça Bicho nojento esse cara Pelo amor de Deus Por que todo esquerdista tem que ser nojento e maldito;sim
Mão de Jacare tb cara nojento gordo Tá foda que isso mano vou ficar maluco com esse time de capeta;sim
sidcley nojento gordo bacon imbecil idiota filho da puta animal incapaz sitiante aleijado vesgo torto poço de merda;sim
nao passa de um porco gordo nojento e COMUNISTA;sim
Verme chama pessoa que vc não  conhece de gordo seus nojento se ele e gordo vc e um palito imundo;sim
Cala a boca favelado;sim
tu eh mo favelado ;sim
O sua burra do caralho ele tá zuando vc é um macaco pra não percebe isso;sim
vou fazer a lista e postar no twitter vou expor você;sim
se você não participar vou te expor vadia;sim
vou te expor mesmo lhucas você q lute KKKKKKKKKmds eu precisava fazer isso;sim
NICHOLAS EU VOU EXPOR VOCE;sim
moss vsf sua vagabunda te odeio;sim
vai se fude fdp do caralho cara de buceta infeliz de merda cu de vidro cu de abelha cu de porta cu de bosta cu de fiapo desgraca bucetao pau gordo caralhudo cria do justin bieber high note da fergie no hino nacional pé de prancha cu trancado desgracado jumento nojento da porra ze;sim
VAI TOMAR NO SEU CU SEU GORDO NOJENTO;sim
O corno macaco do samuel;sim
EU AVISEI KKKKKKKKKKKK GORDO NOJENTO;sim
Gordo nojento Num tem nem roupa pra vc vestir;sim
fica a dica ai macaco aula é agora;sim
Só seu favelado viado shshhshsjf;sim
Chora favelado sem o médio;sim
Favelado pobre lkkkkkkkk;sim
O macaco é o Olavo;sim
Ela foi mt lendária se nao fosse o cara de macaco BAUÍNO do caique aguiar e da cadela com cara de traveco da fernanda lacerda nadja teria saído  campeã NADJA NO HOJE EM DIA;sim
Você esquerdista burro que acha que ela ta se preocupando com pobre ela que fazer o dela e ta cagando pra favelado reclamando;sim
vsfd man o cara nem me segue e curte essas coisas mds macaco Racho o bico com as coisas que tu fala e com a sua opinião sobre as garotas de Gatari foda demais mds;sim
Aras gordo nojento ForaAras;sim
Vai te fuder pau no cu arrombado do Karalho;sim
Isso é maneira de falar de falar com um velho que é presidente da República O correto é Senhor Arrombado;sim
Arrombado imbecil se fodeu foi pouco;sim
me da meu dinheiro arrombado filho da puta lixo cu;sim
fiquei mermoesses arrombado que não entende piada de humor negro pelo amor de Deus;sim
VOU TE MANDAR NO ZAP PELA TERCEIRA VEZ ARROMBADO;sim
Prof não ensina como fazer o trabalho manda a gente fazer e ainda obriga a gente mesmo a corrigir Desse jeito eu também quero dar aula arrombado do caralho;sim
Vá dar ré no kibe seu baitola  FDP  ;sim
um baitola msm;sim
vai se fude baitola;sim
Vá se fuder Baitola;sim
vai se fude baitola  mas eh vdd memso;sim
 tu acha q eu tenho memória seu baitola;sim
ReeleicaoNemAPau Querem mudar as regras pra beneficiar o Demôniocratas O cambada de bundão cheios de processos na casa da luz vermelha;sim
TA MAIS PRA SUPER BUNDÃO;sim
Gênio sim bundão também;sim
Bundão  incompetente do cassete;sim
E ele não mentiu cadela sem 1 solo em mais de 12 anos de carreira Fracassada Sem feats e remix essa coitada não eh ninguém;sim
LI SÓ AGORA CADELA;sim
a gente nn é mais amg pq são tudo umas cadela vadia mal comida mas enfim pq elas são tudo falsa e cobra fim;sim
Sua cadela do caranho;sim
cortando a minha internet ne sua cadela;sim
Então Embuste ele vai cagar dinheiro Porque o Governo Federal tá endividado até às cuecas;sim
MAS QUE INFERNO SUA FILHA DA PUTA;sim
carolina desgraçada espero que queime no inferno;sim
o desgraçado não me responde q inferno;sim
Vai pra puta q pariu inferno;sim
Ninguém te quer aqui tmb n querido você não é nem louco de voltar tmb;sim
Trabalhei igual FDP para sustentar esse marica do  e seus filhos como CarlosBolsonaro ;sim
Encontrei um estrume que defende o Gilmar Mendes pqp que merda de pessoa;sim
quem é o 6ix9ine 6ix9ine é o lixo humano 6ix9ine foi a pior coisa criada no mundo 6ix9ine não teria conseguido 1 sem a Nicki 6ix9ine é merda perto de todos os cantores;sim
Boa noite è um grande vagabundo e safado è o medo é de mais;sim
Não sabe fazer conta não seu vagabundo são 11 funcionários em 20 anos seu lixo filho da PT;sim
Oiá kkkk vagabundo tá me surpreendendo kkkk;sim
Só vi vagabundo aí;sim
Cara vc é um vagabundo de marca maior Acha que lula vai ser a solução dos problemas e votou em Hélio negão linchamento em praça público é pouco para você;sim
Só no cartão corporativo esse vagabundo dá um desfalque de mais 31 mil reais por dia ao povo brasileiro e pra quê pra desgraça ir rodar bolsinha na beira da estrada;sim
Vai trabalhar pra sustentar seus 5 filhos vagabundo;sim
isso ai é vagabundo gastando cara kkkkkk aposto ngm quer o pai crl;sim
VAI TRABALHAR VAGABUNDO;sim
PUTA que pariu um bandido vagabundo e condenado querendo falar do presidente enfia o dedo no seu rabo e CHEIRA;sim
Vagabundo que não tem nada pra fazer;sim
Cala boca ladrão vagabundo;sim
Pedindo gala a vagabunda;sim
cara ela me deu block no whatsapp vai se foder piranha vagabunda oq eu fiz pra vc nem te respondi e vc me deu block;sim
Acabei de ver os 3 primeiros ele de the boys agora eu espero que a stormfront morra da pior forma possível vagabunda imundaaaaa;sim
vai toma no cu eu odeio homem com todas as minhas forças olha oq esses arrombado faz;sim
VEM ALMOÇAR 14H SEU FILHA DA PUTA ARROMBADO FODIDO LIXO HUNANO ESCÓRIA DA HUMANIDADE;sim
meudeus eu não tenho UM dia de paz que desgraça velho eu odeio esse arrombado era pra ter morrido esse corno do cacete;sim
F Inei Hozoin tomar no cu porra para de matar os vovo filho da puta arrombado manga podre ruim lixo feio;sim
me esquece pufavo finge que eu não existo carai me erra arrombado;sim
pega o mlk na trairagem eh fácil pnc quero ver vim de peito aberto arrombado;sim
bando de arrombado do clh;sim
Adnet é um hipócrita arrombado igual o Duvivier ambos se merecem;sim
quem é esse baitola me seguindo;sim
Vai baitola ridículo dia sua grana e vai morar na praia do futuro em um barraco seu merda;sim
Retificação o baitola do professor mandou mais 6;sim
uma hr cansaaa ein baitola’to tendo paciência demais;sim
Mas que id de baitola em amigo;sim
que viado baitola da porra se vai te fude KKKKJJKKKJKAJQLSJWLQJSLSJQLAHSOQHSLSJS;sim
sae pra lá baitola kkkk;sim
Preguiça de baitola sonsa;sim
queria que essa baitola tivesse me pago feriado lisa foi uoooo;sim
Além de corno é falso kkkkkkk meu a migo;sim
Se fosse mulher tu ia cuspir na cara dela né corno;sim
Vagabundo e ingrato p krl;sim
Ex-ator da Malhação tá ameaçando quem te crítica agora policiafederal vem ver o cara dando carteirada a suas custas Aproveita e já prende td mundo pq vamos continuar zuando esse VAGABUNDO BABACA MIMIZENTO;sim
Viva quem Reinaldo Azevedo outro ser vagabundo jornalista de merda;sim
Seu gordo escroto vagabundo  Se prepare que vc vai preso;sim
nossa como eu odeio a stormfront vagabunda nazista de merda;sim
caralho vagabunda;sim
eu vou te matar juliana sua vagabunda  kylespuzio;sim
Que rede social vagabunda igual ao Twitter não tem;sim
